CODE,Title,year,Word,count
GA,"Roswell, GA Hookah shootout                                     ",2016,Bar,1
NY,Olean High School                                               ,1974,Barbaro,1
NC,Tarboro                                                         ,2015,Barber,1
NY,Mohawk and Herkimer Villages in New York                        ,2013,Barbershop,1
MA,Simon's Rock College of Bard                                    ,1992,Bard,1
MA,Simon's Rock College of Bard                                    ,1992,Barrington,1
IL,Clara Barton Elementary School                                  ,1974,Barton,1
TX,Fort Hood Army Base                                             ,2009,Base,1
WA,Fairchild Air Force Base Hospital                               ,1994,Base,1
NY,Parking lot near Boys and Girls Club                            ,2015,Basketball,1
PA,Duquesne University                                             ,2006,Basketball,1
IL,Hubbard Woods Elementary School                                 ,1988,Bathroom,1
TX,Tyler Courthouse                                                ,2005,Battle,1
FL,Palm Bay Shopping Centers                                       ,1987,Bay,1
FL,Radisson Bay Harbor Inn                                         ,1999,Bay,1
CA,Salon Meritage                                                  ,2011,Beach,1
FL,Daytona Beach                                                   ,2015,Beach,2
AZ,Rose-Mar College of Beauty                                      ,1966,Beauty,2
AZ,Arizona Family Murder                                           ,2016,Because,1
GA,Su Jung Health Sauna                                            ,2012,Because,1
OK,Oklahoma City Residence                                         ,2013,Because,1
AL,Ensley Birmingham                                               ,2012,Bedroom,1
IL,Hubbard Woods Elementary School                                 ,1988,Bedroom,1
NY,Olean High School                                               ,1974,Bedroom,1
VA,"Woodbridge, Virginia                                            ",2016,Bedroom,1
AL,Ensley Birmingham                                               ,2012,Been,1
AZ,Phoenix                                                         ,2015,Been,1
CA,Dana Point Post Office                                          ,1993,Been,1
CT,Hartford Beer Distributors                                      ,2010,Been,1
FL,"Inglis, Florida                                                 ",2015,Been,1
HI,Xerox Office Building                                           ,1999,Been,1
IL,Clara Barton Elementary School                                  ,1974,Been,1
IL,Navistar International                                          ,2001,Been,1
IL,Northern Illinois University                                    ,2008,Been,1
KS,"Hesston, Kansas                                                 ",2016,Been,1
KY,Heath High School                                               ,1997,Been,1
KY,Atlantis Plastics                                               ,2008,Been,1
MD,Tire-Slashing revenge escalation                                ,2016,Been,1
MN,"Minneapolis, Minnesota                                          ",2015,Been,1
MS,Lockheed Martin                                                 ,2003,Been,1
NE,Omaha                                                           ,2015,Been,1
OH,SuccessTech Academy                                             ,2007,Been,1
PA,Ross Township Supervisor Council Meeting                        ,2013,Been,2
PA,Wilkinsburg BBQ cookout shootout                                ,2016,Been,1
TN,Memphis                                                         ,2015,Been,1
TX,"Houston, Texas                                                  ",2015,Been,1
TX,Texas family murder-suicide                                     ,2016,Been,1
